,duration,frequency,number_of_neurons,model_threshold,learning_rate,orig_a_mean_freq,orig_b_mean_freq,orig_difference,orig_distance,set_size,release_duration,number_of_vesicles,release_probability,pre,post,diff,run_time
0,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(3, 5)",3.0209290070458164e-05,200,6,20,1,0.7,0.96,0.26,00:01:4.608872652053833
1,500,15,30,0.025,5e-05,14.6,14.6,"(3, 5)",6.222536270044701e-05,200,6,20,1,0.62,0.9666666666666667,0.3466666666666667,00:00:48.87479329109192
2,500,15,30,0.025,5e-05,14.866666666666667,14.866666666666667,"(3, 5)",8.850771561016574e-05,200,6,20,1,0.52,0.88,0.36,00:01:57.964073181152344
3,500,15,30,0.025,5e-05,14.6,14.6,"(3, 5)",5.6927915276340124e-05,200,6,20,1,0.36666666666666664,0.86,0.49333333333333335,00:02:18.06888175010681
4,500,15,30,0.025,5e-05,16.466666666666665,16.466666666666665,"(3, 5)",6.091409174870801e-05,200,6,20,1,0.44666666666666666,0.68,0.2333333333333334,00:02:4.906403541564941
5,500,15,30,0.025,5e-05,13.866666666666667,13.866666666666667,"(3, 5)",3.6570631253490334e-05,200,6,20,1,0.3933333333333333,0.52,0.1266666666666667,00:02:18.768360376358032
6,500,15,30,0.025,5e-05,14.333333333333334,14.333333333333334,"(3, 5)",8.079123192867087e-05,200,6,20,1,0.5133333333333333,0.7666666666666667,0.2533333333333334,00:02:17.37796902656555
7,500,15,30,0.025,5e-05,14.733333333333333,14.733333333333333,"(3, 5)",4.763622050840278e-05,200,6,20,1,0.5,0.9,0.4,00:01:47.86564564704895
8,500,15,30,0.025,5e-05,13.733333333333333,13.733333333333333,"(3, 5)",4.025859863411285e-05,200,6,20,1,0.41333333333333333,0.84,0.42666666666666664,00:02:13.097315549850464
9,500,15,30,0.025,5e-05,15.466666666666667,15.466666666666667,"(3, 5)",8.276992007347748e-05,200,6,20,1,0.5,0.96,0.45999999999999996,00:01:42.775141954422
10,500,15,30,0.025,5e-05,15.2,15.2,"(3, 5)",7.193719794089498e-05,200,6,20,1,0.4666666666666667,0.9133333333333333,0.44666666666666666,00:01:6.9576520919799805
11,500,15,30,0.025,5e-05,14.8,14.8,"(3, 5)",6.631799212593414e-05,200,6,20,1,0.6333333333333333,0.9866666666666667,0.3533333333333334,00:00:56.305217266082764
12,500,15,30,0.025,5e-05,15.466666666666667,15.466666666666667,"(3, 5)",6.650704020960785e-05,200,6,20,1,0.36666666666666664,0.9933333333333333,0.6266666666666667,00:01:26.689881563186646
13,500,15,30,0.025,5e-05,15.6,15.6,"(3, 5)",4.962263989416098e-05,200,6,20,1,0.6666666666666666,0.8733333333333333,0.20666666666666667,00:01:10.11141324043274
14,500,15,30,0.025,5e-05,14.933333333333334,14.933333333333334,"(3, 5)",7.454290893231439e-05,200,6,20,1,0.41333333333333333,0.8133333333333334,0.4,00:02:17.113747596740723
15,500,15,30,0.025,5e-05,14.666666666666666,14.666666666666666,"(3, 5)",7.997207414821085e-05,200,6,20,1,0.22666666666666666,0.7333333333333333,0.5066666666666666,00:02:9.640812397003174
16,500,15,30,0.025,5e-05,15.266666666666667,15.266666666666667,"(3, 5)",4.9915145960166865e-05,200,6,20,1,0.5,0.9066666666666666,0.4066666666666666,00:02:3.430884599685669
17,500,15,30,0.025,5e-05,16.2,16.2,"(3, 5)",8.103504396581794e-05,200,6,20,1,0.52,0.94,0.41999999999999993,00:00:55.66479539871216
18,500,15,30,0.025,5e-05,14.2,14.2,"(3, 5)",8.009191300551389e-05,200,6,20,1,0.68,0.9666666666666667,0.2866666666666666,00:00:58.672072887420654
19,500,15,30,0.025,5e-05,14.333333333333334,14.333333333333334,"(3, 5)",6.844859860061891e-05,200,6,20,1,0.42,0.72,0.3,00:01:53.285012006759644
20,500,15,30,0.025,5e-05,14.933333333333334,14.933333333333334,"(3, 5)",8.245629742719683e-05,200,6,20,1,0.5,0.8866666666666667,0.3866666666666667,00:01:42.226659536361694
21,500,15,30,0.025,5e-05,15.6,15.6,"(3, 5)",2.2723946752698366e-05,200,6,20,1,0.06,0.9066666666666666,0.8466666666666667,00:01:55.762749910354614
22,500,15,30,0.025,5e-05,15.666666666666666,15.666666666666666,"(3, 5)",7.766832673611058e-05,200,6,20,1,0.6133333333333333,0.98,0.3666666666666667,00:00:57.55486249923706
23,500,15,30,0.025,5e-05,15.466666666666667,15.466666666666667,"(3, 5)",6.703615465329406e-05,200,6,20,1,0.5,0.72,0.21999999999999997,00:01:43.745760917663574
24,500,15,30,0.025,5e-05,15.2,15.2,"(3, 5)",8.112370906442626e-05,200,6,20,1,0.30666666666666664,0.6333333333333333,0.32666666666666666,00:02:8.923587799072266
25,500,15,30,0.025,5e-05,16.266666666666666,16.266666666666666,"(3, 5)",8.608901131475215e-05,200,6,20,1,0.6266666666666667,0.9533333333333334,0.32666666666666666,00:01:15.018827199935913
26,500,15,30,0.025,5e-05,17.066666666666666,17.066666666666666,"(3, 5)",9.71805372683525e-05,200,6,20,1,0.5066666666666667,0.9666666666666667,0.45999999999999996,00:00:41.13160586357117
27,500,15,30,0.025,5e-05,15.133333333333333,15.133333333333333,"(3, 5)",9.746670635662272e-05,200,6,20,1,0.58,0.9266666666666666,0.3466666666666667,00:01:57.41997981071472
28,500,15,30,0.025,5e-05,16.0,16.0,"(3, 5)",4.8481073195371156e-05,200,6,20,1,0.21333333333333335,0.7866666666666666,0.5733333333333333,00:02:6.308426856994629
29,500,15,30,0.025,5e-05,15.466666666666667,15.466666666666667,"(3, 5)",6.222892903011604e-05,200,6,20,1,0.5733333333333334,0.96,0.3866666666666666,00:01:34.30940365791321
